Date,Open,High,Low,Close,AdjClose,Volume
1/31/2020,6313.13,6348.53,5937.02,5940.05,5940.05,848261000
2/28/2020,5920.97,6013.7,5288.37,5452.7,5452.7,726219300
3/31/2020,5455.05,5715.94,3911.72,4538.93,4538.93,916101900
4/30/2020,4538.93,4975.54,4393.67,4716.4,4716.4,1043026100
5/31/2020,4716.4,4755.96,4460.27,4753.61,4753.61,838222500
6/30/2020,4753.61,5139.41,4712.07,4905.39,4905.39,1555086200
7/31/2020,4905.39,5162.98,4885.6,5149.63,5149.63,1646290300
8/31/2020,5149.63,5381.95,4928.47,5238.49,5238.49,1741697200
9/30/2020,5238.49,5337.1,4754.8,4870.04,4870.04,2102320200
10/31/2020,4899.64,5182.53,4881.91,5128.23,5128.23,1865262000
11/30/2020,5108.03,5798.29,5073.5,5612.42,5612.42,3551492200
12/31/2020,5637.89,6195.15,5594.28,5979.07,5979.07,4354385700
1/31/2021,5997.83,6504.99,5825.29,5862.35,5862.35,4429236400
2/28/2021,5856.78,6314.56,5735.47,6241.8,6241.8,3056064300
3/31/2021,6281.86,6394.45,5892.65,5985.52,5985.52,3451452000
4/30/2021,5988.02,6115.62,5883.52,5995.62,5995.62,2813253600
5/31/2021,5999.66,6005.09,5742.04,5947.46,5947.46,2453433400
6/30/2021,6002.48,6134.88,5884.92,5985.49,5985.49,3980614000
7/31/2021,6001.12,6166.31,5947.62,6070.04,6070.04,3225744000
8/31/2021,6098.01,6263.54,5938.41,6150.3,6150.3,4218994600
9/30/2021,6157.82,6286.94,5982.77,6286.94,6286.94,4359649400
10/31/2021,6269.24,6687.13,6202.91,6591.35,6591.35,3960713500
11/30/2021,6618.12,6754.46,6480.01,6533.93,6533.93,4188202600
12/31/2021,6544.52,6688.38,6484.58,6581.48,6581.48,4373800600
1/31/2022,6586.26,6738.11,6523.93,6631.15,6631.15,3713686800
2/28/2022,6657.79,6929.91,6648.08,6888.17,6888.17,4052888600
3/31/2022,6964.7,7099.5,6814.18,7071.44,7071.44,4623295400
4/30/2022,7093.7,7355.3,7040.49,7228.91,7228.91,4142302500
5/31/2022,7154.92,7156.48,6509.88,7148.97,7148.97,2825909500
6/30/2022,7130.6,7258,6859.6,6911.58,6911.58,4888780200
7/31/2022,6911.58,7032.35,6559.64,6951.12,6951.12,4002103900
8/31/2022,6951.12,7230.11,6902.63,7178.59,7178.59,5266553400
9/30/2022,7178.59,7377.5,6926.86,7040.8,7040.8,5838264900
10/31/2022,7040.8,7135.91,6747.38,7098.89,7098.89,4244815700
11/30/2022,7098.93,7128.14,6955.53,7081.31,7081.31,3977614600
12/31/2022,7081.19,7090.28,6641.81,6850.62,6850.62,3416219200
1/31/2023,6850.74,6932.71,6557.92,6839.34,6839.34,3306710500
2/28/2023,6838.92,6961.92,6781.23,6843.24,6843.24,3243271300
3/31/2023,6843.1,6889.51,6542.79,6805.28,6805.28,3230482600
4/30/2023,6805.28,6971.91,6735.19,6915.72,6915.72,1907480700
5/31/2023,6915.72,6920.34,6562.96,6633.26,6633.26,3813875400
6/30/2023,6633.26,6744.64,6578.76,6661.88,6661.88,2685950000
7/31/2023,6661.74,6966.17,6660.82,6931.36,6931.36,3064407100
8/31/2023,6931.08,7008.49,6823.75,6953.26,6953.26,3705866200
9/30/2023,6953.26,7046.48,6900.59,6939.89,6939.89,3467509300
10/31/2023,6939.89,6992.63,6666.41,6752.21,6752.21,3962926500
11/30/2023,6751.94,7109.61,6639.82,7080.74,7080.74,3906411800
12/31/2023,7080.06,7309.78,7022.77,7272.8,7272.8,4200629600
1/31/2024,7268.4,7403.58,7099.08,7207.94,7207.94,3336543400
2/29/2024,7221.85,7370.88,7180.36,7316.11,7316.11,2838874100
3/31/2024,7318.67,7454.45,7238.34,7288.81,7288.81,2688559900
4/30/2024,7286.11,7298.86,7021.49,7234.2,7234.2,2179246300
5/31/2024,7187.41,7374.55,6959.23,6970.74,6970.74,2893327900
6/30/2024,7030.21,7149.19,6698.85,7063.58,7063.58,2597254500
7/31/2024,7076.63,7354.16,7075.38,7255.76,7255.76,3332071700
8/31/2024,7274.52,7715.76,6998.81,7670.73,7670.73,3282405000
9/30/2024,7686.54,7910.56,7527.93,7527.93,7527.93,4022472400
10/31/2024,7551.46,7805.92,7449.48,7574.02,7574.02,4937186000
11/30/2024,7573.79,7583.69,7107.28,7114.27,7114.27,4045270100
12/31/2024,7117.75,7530.56,6931.58,7079.9,7079.9,3041108100
