data_ihsg_2007_2024-2
Date,Open,High,Low,Close,AdjClose,Volume,Inflasi,Kurs Jual,Kurs Beli,Kurs Tengah
2/28/2019,6552.06,6581.73,6374.9,6443.35,6443.35,1955163100,2.57%,14105.36842,13965.05263,14035.21053
3/31/2019,6468.62,6537.23,6337.87,6468.75,6468.75,1987558400,2.48%,14282.1,14139.9,14211
4/30/2019,6485.72,6636.33,6321.66,6455.35,6455.35,1894855300,2.83%,14213.31579,14071.84211,14142.57895
5/31/2019,6458.12,6465.77,5767.4,6209.12,6209.12,1874205900,3.32%,14464.7619,14320.85714,14392.80952
6/30/2019,6277.29,6377.35,6190.52,6358.63,6358.63,1493251700,3.28%,14297.73333,14155.33333,14226.53333
7/31/2019,6381.18,6468.25,6283.6,6390.5,6390.5,2944633300,3.32%,14114.26087,13973.56522,14043.91304
8/31/2019,6385.26,6404.58,6022.6,6328.47,6328.47,2443573100,3.49%,14313.04545,14171.04545,14242.04545
9/30/2019,6331.15,6414.48,6086,6169.1,6169.1,2340055700,3.39%,14181.57143,14040.61905,14111.09524
10/31/2019,6163.98,6348.31,5988.87,6228.32,6228.32,2878992300,3.13%,14188.21,14046.92043,14117.56522
11/30/2019,6225.81,6274.29,5939.4,6011.83,6011.83,1357642000,3%,14139.06,13998.37286,14068.71643
12/31/2019,6023.61,6337.34,6023.01,6299.54,6299.54,884041200,2.72%,14087.5395,13947.365,14017.45225
1/31/2020,6313.13,6348.53,5937.02,5940.05,5940.05,848261000,2.68%,13800.88955,13663.56727,13732.22841
2/28/2020,5920.97,6013.7,5288.37,5452.7,5452.7,726219300,2.98%,13845.0335,13707.272,13776.15275
3/31/2020,5455.05,5715.94,3911.72,4538.93,4538.93,916101900,2.96%,15270.54667,15118.60095,15194.57381
4/30/2020,4538.93,4975.54,4393.67,4716.4,4716.4,1043026100,2.67%,15946.76905,15788.09476,15867.4319
5/31/2020,4716.4,4755.96,4460.27,4753.61,4753.61,838222500,2.19%,14980.72188,14831.66,14906.19094
6/30/2020,4753.61,5139.41,4712.07,4905.39,4905.39,1555086200,1.96%,14266.93476,14124.97524,14195.955
7/31/2020,4905.39,5162.98,4885.6,5149.63,5149.63,1646290300,1.54%,14655.32318,14509.49909,14582.41114
8/31/2020,5149.63,5381.95,4928.47,5238.49,5238.49,1741697200,1.32%,14798.125,14650.88,14724.5025
9/30/2020,5238.49,5337.1,4754.8,4870.04,4870.04,2102320200,1.42%,14922.19636,14773.71682,14847.95659
10/31/2020,4899.64,5182.53,4881.91,5128.23,5128.23,1865262000,1.44%,14822.88364,14675.39227,14749.13795
11/30/2020,5108.03,5798.29,5073.5,5612.42,5612.42,3551492200,1.59%,14307.99619,14165.6281,14236.81214
12/31/2020,5637.89,6195.15,5594.28,5979.07,5979.07,4354385700,1.68%,14243.95391,14102.22304,14173.08848
1/31/2021,5997.83,6504.99,5825.29,5862.35,5862.35,4429236400,1.55%,14132.212,13991.593,14061.9025
2/28/2021,5856.78,6314.56,5735.47,6241.8,6241.8,3056064300,1.38%,14112.313,13971.892,14042.1025
3/31/2021,6281.86,6394.45,5892.65,5985.52,5985.52,3451452000,1.37%,14489.48043,14345.30652,14417.39348
4/30/2021,5988.02,6115.62,5883.52,5995.62,5995.62,2813253600,1.42%,14630.975,14485.39318,14558.18409
5/31/2021,5999.66,6005.09,5742.04,5947.46,5947.46,2453433400,1.68%,14394.80857,14251.57667,14323.19262
6/30/2021,6002.48,6134.88,5884.92,5985.49,5985.49,3980614000,1.33%,14409.92,14266.53773,14338.22886
7/31/2021,6001.12,6166.31,5947.62,6070.04,6070.04,3225744000,1.52%,14583.7481,14438.63619,14511.19214
8/31/2021,6098.01,6263.54,5938.41,6150.3,6150.3,4218994600,1.59%,14469.6905,14325.7135,14397.702
9/30/2021,6157.82,6286.94,5982.77,6286.94,6286.94,4359649400,1.60%,14328.24182,14185.67227,14256.95705
10/31/2021,6269.24,6687.13,6202.91,6591.35,6591.35,3960713500,1.66%,14269.445,14127.4605,14198.45275
11/30/2021,6618.12,6754.46,6480.01,6533.93,6533.93,4188202600,1.75%,14334.82045,14192.18545,14263.50295
